date,name,category,value
"Thursday, June 4, 2020",Albania,Europe,1197
"Friday, June 5, 2020",Albania,Europe,1212
"Saturday, June 6, 2020",Albania,Europe,1232
"Sunday, June 7, 2020",Albania,Europe,1246
"Monday, June 8, 2020",Albania,Europe,1263
"Tuesday, June 9, 2020",Albania,Europe,1299
"Wednesday, June 10, 2020",Albania,Europe,1341
"Thursday, June 11, 2020",Albania,Europe,1385
"Friday, June 12, 2020",Albania,Europe,1416
"Saturday, June 13, 2020",Albania,Europe,1464
"Sunday, June 14, 2020",Albania,Europe,1521
"Monday, June 15, 2020",Albania,Europe,1590
"Tuesday, June 16, 2020",Albania,Europe,1672
"Wednesday, June 17, 2020",Albania,Europe,1722
"Thursday, June 18, 2020",Albania,Europe,1788
"Friday, June 19, 2020",Albania,Europe,1838
"Saturday, June 20, 2020",Albania,Europe,1891
"Sunday, June 21, 2020",Albania,Europe,1962
"Monday, June 22, 2020",Albania,Europe,1995
"Tuesday, June 23, 2020",Albania,Europe,2047
"Wednesday, June 24, 2020",Albania,Europe,2114
"Thursday, June 25, 2020",Albania,Europe,2192
"Friday, June 26, 2020",Albania,Europe,2269
"Saturday, June 27, 2020",Albania,Europe,2330
"Sunday, June 28, 2020",Albania,Europe,2402
"Monday, June 29, 2020",Albania,Europe,2466
"Tuesday, June 30, 2020",Albania,Europe,2535
"Wednesday, July 1, 2020",Albania,Europe,2580
"Thursday, July 2, 2020",Albania,Europe,2662
"Friday, July 3, 2020",Albania,Europe,2752
"Saturday, July 4, 2020",Albania,Europe,2819
"Sunday, July 5, 2020",Albania,Europe,2893
"Monday, July 6, 2020",Albania,Europe,2964
"Tuesday, July 7, 2020",Albania,Europe,3038
"Wednesday, July 8, 2020",Albania,Europe,3106
"Thursday, July 9, 2020",Albania,Europe,3188
"Friday, July 10, 2020",Albania,Europe,3278
"Saturday, July 11, 2020",Albania,Europe,3371
"Sunday, July 12, 2020",Albania,Europe,3454
"Monday, July 13, 2020",Albania,Europe,3571
"Tuesday, July 14, 2020",Albania,Europe,3667
"Wednesday, July 15, 2020",Albania,Europe,3752
"Thursday, July 16, 2020",Albania,Europe,3851
"Friday, July 17, 2020",Albania,Europe,3906
"Saturday, July 18, 2020",Albania,Europe,4008
"Sunday, July 19, 2020",Albania,Europe,4090
"Monday, July 20, 2020",Albania,Europe,4171
"Tuesday, July 21, 2020",Albania,Europe,4290
"Wednesday, July 22, 2020",Albania,Europe,4358
"Thursday, July 23, 2020",Albania,Europe,4466
"Friday, July 24, 2020",Albania,Europe,4570
"Saturday, July 25, 2020",Albania,Europe,4637
"Sunday, July 26, 2020",Albania,Europe,4763
"Monday, July 27, 2020",Albania,Europe,4880
"Tuesday, July 28, 2020",Albania,Europe,4997
"Wednesday, July 29, 2020",Albania,Europe,5105
"Thursday, July 30, 2020",Albania,Europe,5197
"Friday, July 31, 2020",Albania,Europe,5276
"Saturday, August 1, 2020",Albania,Europe,5396
"Sunday, August 2, 2020",Albania,Europe,5519
"Monday, August 3, 2020",Albania,Europe,5620
"Tuesday, August 4, 2020",Albania,Europe,5750
"Wednesday, August 5, 2020",Albania,Europe,5889
"Thursday, August 6, 2020",Albania,Europe,6016
"Friday, August 7, 2020",Albania,Europe,6151
"Saturday, August 8, 2020",Albania,Europe,6275
"Sunday, August 9, 2020",Albania,Europe,6411
"Monday, August 10, 2020",Albania,Europe,6536
"Tuesday, August 11, 2020",Albania,Europe,6676
"Wednesday, August 12, 2020",Albania,Europe,6817
