"","date","country","continent","value"
"416",2020-08-13,"Albania","Europe",6971
"417",2020-08-14,"Albania","Europe",7117
"418",2020-08-15,"Albania","Europe",7260
"419",2020-08-16,"Albania","Europe",7380
"420",2020-08-17,"Albania","Europe",7499
"421",2020-08-18,"Albania","Europe",7654
"422",2020-08-19,"Albania","Europe",7812
"423",2020-01-22,"Algeria","Africa",0
"424",2020-01-23,"Algeria","Africa",0
"425",2020-01-24,"Algeria","Africa",0
"426",2020-01-25,"Algeria","Africa",0
"427",2020-01-26,"Algeria","Africa",0
"428",2020-01-27,"Algeria","Africa",0
"429",2020-01-28,"Algeria","Africa",0
"430",2020-01-29,"Algeria","Africa",0
"431",2020-01-30,"Algeria","Africa",0
"432",2020-01-31,"Algeria","Africa",0
"433",2020-02-01,"Algeria","Africa",0
"434",2020-02-02,"Algeria","Africa",0
"435",2020-02-03,"Algeria","Africa",0
"436",2020-02-04,"Algeria","Africa",0
"437",2020-02-05,"Algeria","Africa",0
"438",2020-02-06,"Algeria","Africa",0
"439",2020-02-07,"Algeria","Africa",0
"440",2020-02-08,"Algeria","Africa",0
"441",2020-02-09,"Algeria","Africa",0
"442",2020-02-10,"Algeria","Africa",0
"443",2020-02-11,"Algeria","Africa",0
"444",2020-02-12,"Algeria","Africa",0
"445",2020-02-13,"Algeria","Africa",0
"446",2020-02-14,"Algeria","Africa",0
"447",2020-02-15,"Algeria","Africa",0
"448",2020-02-16,"Algeria","Africa",0
"449",2020-02-17,"Algeria","Africa",0
"450",2020-02-18,"Algeria","Africa",0
"451",2020-02-19,"Algeria","Africa",0
"452",2020-02-20,"Algeria","Africa",0
"453",2020-02-21,"Algeria","Africa",0
"454",2020-02-22,"Algeria","Africa",0
"455",2020-02-23,"Algeria","Africa",0
"456",2020-02-24,"Algeria","Africa",0
"457",2020-02-25,"Algeria","Africa",1
"458",2020-02-26,"Algeria","Africa",1
"459",2020-02-27,"Algeria","Africa",1
"460",2020-02-28,"Algeria","Africa",1
"461",2020-02-29,"Algeria","Africa",1
"462",2020-03-01,"Algeria","Africa",1
"463",2020-03-02,"Algeria","Africa",3
"464",2020-03-03,"Algeria","Africa",5
"465",2020-03-04,"Algeria","Africa",12
"466",2020-03-05,"Algeria","Africa",12
"467",2020-03-06,"Algeria","Africa",17
"468",2020-03-07,"Algeria","Africa",17
"469",2020-03-08,"Algeria","Africa",19
"470",2020-03-09,"Algeria","Africa",20
"471",2020-03-10,"Algeria","Africa",20
"472",2020-03-11,"Algeria","Africa",20
"473",2020-03-12,"Algeria","Africa",24
"474",2020-03-13,"Algeria","Africa",26
"475",2020-03-14,"Algeria","Africa",37
"476",2020-03-15,"Algeria","Africa",48
"477",2020-03-16,"Algeria","Africa",54
"478",2020-03-17,"Algeria","Africa",60
"479",2020-03-18,"Algeria","Africa",74
"480",2020-03-19,"Algeria","Africa",87
"481",2020-03-20,"Algeria","Africa",90
"482",2020-03-21,"Algeria","Africa",139
"483",2020-03-22,"Algeria","Africa",201
"484",2020-03-23,"Algeria","Africa",230
"485",2020-03-24,"Algeria","Africa",264
"486",2020-03-25,"Algeria","Africa",302
"487",2020-03-26,"Algeria","Africa",367
"488",2020-03-27,"Algeria","Africa",409
"489",2020-03-28,"Algeria","Africa",454
"490",2020-03-29,"Algeria","Africa",511
"491",2020-03-30,"Algeria","Africa",584
"492",2020-03-31,"Algeria","Africa",716
"493",2020-04-01,"Algeria","Africa",847
"494",2020-04-02,"Algeria","Africa",986
"495",2020-04-03,"Algeria","Africa",1171
"496",2020-04-04,"Algeria","Africa",1251
"497",2020-04-05,"Algeria","Africa",1320
"498",2020-04-06,"Algeria","Africa",1423
"499",2020-04-07,"Algeria","Africa",1468
"500",2020-04-08,"Algeria","Africa",1572
"501",2020-04-09,"Algeria","Africa",1666
"502",2020-04-10,"Algeria","Africa",1761
"503",2020-04-11,"Algeria","Africa",1825
"504",2020-04-12,"Algeria","Africa",1914
"505",2020-04-13,"Algeria","Africa",1983
"506",2020-04-14,"Algeria","Africa",2070
"507",2020-04-15,"Algeria","Africa",2160
"508",2020-04-16,"Algeria","Africa",2268
"509",2020-04-17,"Algeria","Africa",2418
"510",2020-04-18,"Algeria","Africa",2534
"511",2020-04-19,"Algeria","Africa",2629
"512",2020-04-20,"Algeria","Africa",2718
"513",2020-04-21,"Algeria","Africa",2811
"514",2020-04-22,"Algeria","Africa",2910
"515",2020-04-23,"Algeria","Africa",3007
"516",2020-04-24,"Algeria","Africa",3127
"517",2020-04-25,"Algeria","Africa",3256
"518",2020-04-26,"Algeria","Africa",3382
"519",2020-04-27,"Algeria","Africa",3517
"520",2020-04-28,"Algeria","Africa",3649
"521",2020-04-29,"Algeria","Africa",3848
"522",2020-04-30,"Algeria","Africa",4006
"523",2020-05-01,"Algeria","Africa",4154
"524",2020-05-02,"Algeria","Africa",4295
"525",2020-05-03,"Algeria","Africa",4474
"526",2020-05-04,"Algeria","Africa",4648
"527",2020-05-05,"Algeria","Africa",4838
"528",2020-05-06,"Algeria","Africa",4997
"529",2020-05-07,"Algeria","Africa",5182
"530",2020-05-08,"Algeria","Africa",5369
"531",2020-05-09,"Algeria","Africa",5558
"532",2020-05-10,"Algeria","Africa",5723
"533",2020-05-11,"Algeria","Africa",5891
"534",2020-05-12,"Algeria","Africa",6067
"535",2020-05-13,"Algeria","Africa",6253
"536",2020-05-14,"Algeria","Africa",6442
"537",2020-05-15,"Algeria","Africa",6629
"538",2020-05-16,"Algeria","Africa",6821
"539",2020-05-17,"Algeria","Africa",7019
"540",2020-05-18,"Algeria","Africa",7201
"541",2020-05-19,"Algeria","Africa",7377
"542",2020-05-20,"Algeria","Africa",7542
"543",2020-05-21,"Algeria","Africa",7728
"544",2020-05-22,"Algeria","Africa",7918
"545",2020-05-23,"Algeria","Africa",8113
"546",2020-05-24,"Algeria","Africa",8306
"547",2020-05-25,"Algeria","Africa",8503
"548",2020-05-26,"Algeria","Africa",8697
"549",2020-05-27,"Algeria","Africa",8857
"550",2020-05-28,"Algeria","Africa",8997
"551",2020-05-29,"Algeria","Africa",9134
"552",2020-05-30,"Algeria","Africa",9267
"553",2020-05-31,"Algeria","Africa",9394
"554",2020-06-01,"Algeria","Africa",9513
"555",2020-06-02,"Algeria","Africa",9626
"556",2020-06-03,"Algeria","Africa",9733
"557",2020-06-04,"Algeria","Africa",9831
"558",2020-06-05,"Algeria","Africa",9935
"559",2020-06-06,"Algeria","Africa",10050
"560",2020-06-07,"Algeria","Africa",10154
"561",2020-06-08,"Algeria","Africa",10265
"562",2020-06-09,"Algeria","Africa",10382
"563",2020-06-10,"Algeria","Africa",10484
"564",2020-06-11,"Algeria","Africa",10589
"565",2020-06-12,"Algeria","Africa",10698
"566",2020-06-13,"Algeria","Africa",10810
"567",2020-06-14,"Algeria","Africa",10919
"568",2020-06-15,"Algeria","Africa",11031
"569",2020-06-16,"Algeria","Africa",11147
"570",2020-06-17,"Algeria","Africa",11268
"571",2020-06-18,"Algeria","Africa",11385
"572",2020-06-19,"Algeria","Africa",11504
"573",2020-06-20,"Algeria","Africa",11631
"574",2020-06-21,"Algeria","Africa",11771
"575",2020-06-22,"Algeria","Africa",11920
"576",2020-06-23,"Algeria","Africa",12076
"577",2020-06-24,"Algeria","Africa",12248
"578",2020-06-25,"Algeria","Africa",12445
"579",2020-06-26,"Algeria","Africa",12685
"580",2020-06-27,"Algeria","Africa",12968
"581",2020-06-28,"Algeria","Africa",13273
"582",2020-06-29,"Algeria","Africa",13571
"583",2020-06-30,"Algeria","Africa",13907
"584",2020-07-01,"Algeria","Africa",14272
"585",2020-07-02,"Algeria","Africa",14657
"586",2020-07-03,"Algeria","Africa",15070
"587",2020-07-04,"Algeria","Africa",15500
"588",2020-07-05,"Algeria","Africa",15941
"589",2020-07-06,"Algeria","Africa",16404
"590",2020-07-07,"Algeria","Africa",16879
"591",2020-07-08,"Algeria","Africa",17348
"592",2020-07-09,"Algeria","Africa",17808
"593",2020-07-10,"Algeria","Africa",18242
"594",2020-07-11,"Algeria","Africa",18712
"595",2020-07-12,"Algeria","Africa",19195
"596",2020-07-13,"Algeria","Africa",19689
